winner_name,year,Other,Masters,Tour,Grand,Total
Ivan Lendl,1980,6,1,NA,NA,7
Ivan Lendl,1981,8,1,NA,NA,9
Ivan Lendl,1982,12,2,1,NA,15
Ivan Lendl,1983,6,2,NA,NA,8
Ivan Lendl,1984,2,NA,NA,1,3
Ivan Lendl,1985,10,NA,NA,1,11
Ivan Lendl,1986,4,4,NA,2,10
Ivan Lendl,1987,4,2,NA,2,8
Ivan Lendl,1988,1,2,NA,NA,3
Ivan Lendl,1989,7,2,NA,1,10
Ivan Lendl,1990,4,NA,NA,1,5
Ivan Lendl,1991,3,NA,NA,NA,3
Ivan Lendl,1992,1,NA,NA,NA,1
Ivan Lendl,1993,2,NA,NA,NA,2
Jimmy Connors,1972,4,1,NA,NA,5
Jimmy Connors,1973,12,NA,NA,1,13
Jimmy Connors,1974,12,NA,NA,2,14
Jimmy Connors,1975,9,NA,NA,NA,9
Jimmy Connors,1976,11,NA,NA,1,12
Jimmy Connors,1977,7,NA,NA,NA,7
Jimmy Connors,1978,9,1,NA,1,11
Jimmy Connors,1979,8,NA,NA,NA,8
Jimmy Connors,1980,6,NA,NA,NA,6
Jimmy Connors,1981,4,NA,NA,NA,4
Jimmy Connors,1982,5,NA,NA,2,7
Jimmy Connors,1983,3,NA,NA,1,4
Jimmy Connors,1984,5,NA,NA,NA,5
Jimmy Connors,1985,1,NA,NA,NA,1
Jimmy Connors,1988,2,NA,NA,NA,2
Jimmy Connors,1989,2,NA,NA,NA,2
Novak Djokovic,2006,2,NA,NA,NA,2
Novak Djokovic,2007,3,2,NA,NA,5
Novak Djokovic,2008,NA,2,1,1,4
Novak Djokovic,2009,4,1,NA,NA,5
Novak Djokovic,2010,2,NA,NA,NA,2
Novak Djokovic,2011,2,5,NA,3,10
Novak Djokovic,2012,1,3,1,1,6
Novak Djokovic,2013,2,3,1,1,7
Novak Djokovic,2014,1,4,1,1,7
Novak Djokovic,2015,1,6,1,3,11
Novak Djokovic,2016,1,4,NA,2,7
Novak Djokovic,2017,2,NA,NA,NA,2
Novak Djokovic,2018,NA,2,NA,2,4
Novak Djokovic,2019,1,2,NA,2,5
Novak Djokovic,2020,2,2,NA,1,5
Novak Djokovic,2021,NA,NA,NA,1,1
Rafael Nadal,2004,1,NA,NA,NA,1
Rafael Nadal,2005,6,4,NA,1,11
Rafael Nadal,2006,2,2,NA,1,5
Rafael Nadal,2007,2,3,NA,1,6
Rafael Nadal,2008,3,3,NA,2,8
Rafael Nadal,2009,1,3,NA,1,5
Rafael Nadal,2010,1,3,NA,3,7
Rafael Nadal,2011,1,1,NA,1,3
Rafael Nadal,2012,1,2,NA,1,4
Rafael Nadal,2013,4,5,NA,2,11
Rafael Nadal,2014,1,1,NA,1,3
Rafael Nadal,2015,3,NA,NA,NA,3
Rafael Nadal,2016,1,1,NA,NA,2
Rafael Nadal,2017,2,2,NA,2,6
Rafael Nadal,2018,1,3,NA,1,5
Rafael Nadal,2019,NA,2,NA,2,4
Rafael Nadal,2020,1,NA,NA,1,2
Rafael Nadal,2021,1,NA,NA,NA,1
Roger Federer,2001,1,NA,NA,NA,1
Roger Federer,2002,2,1,NA,NA,3
Roger Federer,2003,5,NA,1,1,7
Roger Federer,2004,4,3,1,3,11
Roger Federer,2005,5,4,NA,2,11
Roger Federer,2006,4,4,1,3,12
Roger Federer,2007,2,2,1,3,8
Roger Federer,2008,3,NA,NA,1,4
Roger Federer,2009,NA,2,NA,2,4
Roger Federer,2010,2,1,1,1,5
Roger Federer,2011,2,1,1,NA,4
Roger Federer,2012,2,3,NA,1,6
Roger Federer,2013,1,NA,NA,NA,1
Roger Federer,2014,3,2,NA,NA,5
Roger Federer,2015,5,1,NA,NA,6
Roger Federer,2017,2,3,NA,2,7
Roger Federer,2018,3,NA,NA,1,4
Roger Federer,2019,3,1,NA,NA,4
